port_country_iso3,vessel_class,year,emissions_co2_mt,n_unique_port_vists
IRL,bunker,2017,87.59862708052044,6
GNB,bunker,2022,253.0962209593933,20
IND,bunker,2018,1440.0728331545158,22
PRI,bunker,2023,91.93552745582194,1
ZAF,bunker,2023,19780.994750671594,85
MMR,bunker,2024,1329.7327501472837,66
GRC,bunker,2021,10251.565938083892,41
SWE,bunker,2022,3658.4132888214017,38
LVA,bunker,2022,404.8438055185684,8
GEO,bunker,2017,149.77898230265453,2
POL,bunker,2022,6981.113515192355,216
SGS,bunker,2018,22.50271390821159,3
GIN,bunker,2018,84.85524245866071,2
CYP,bunker,2020,77.10330189776467,1
MAR,bunker,2022,4876.027920366641,195
PRK,bunker,2024,11.938869577145624,3
FIN,bunker,2024,576.8960059717527,18
MLT,bunker,2017,13069.494811849532,293
GIN,bunker,2019,33.025656019315065,2
VNM,bunker,2017,30.451498950833425,3
SHN,bunker,2021,48.94056565344191,1
PAK,bunker,2019,125.42043561842215,2
FSM,bunker,2018,56.211552274444884,2
LBR,bunker,2020,184.62942244026047,3
CCK,bunker,2024,18.419462450192555,6
CRI,bunker,2018,8.752663640594331,2
SEN,bunker,2017,1840.381678356277,7
PRK,bunker,2018,1.0339187402312109,1
FIN,bunker,2018,2354.356077222549,68
NGA,bunker,2018,7898.109867611945,35
SEN,bunker,2020,264.6302786641448,1
PHL,bunker,2018,1683.068394267308,51
DZA,bunker,2017,95.12118588129147,8
