vessel_class,year,emissions_co2_mt,n_unique_vessels,share_emissions,share_vessels
Seismic vessel,2021,2077036.0703799375,1130,0.0022070334133241455,0.0026529994154010136
Cargo: refrigerated,2021,1796713.439035406,178,0.0019091659748568122,4.1790610260299154e-4
Other not fishing,2021,1693030.2291534934,1369,0.0017989934497507735,0.0032141205306937945
Patrol vessel,2021,1595102.2269096237,3515,0.0016949363386902195,0.008252471632862446
Dive vessel,2021,828806.7055690353,370,8.806799835899646e-4,8.686812245118364e-4
Tanker: other,2021,260378.6675675974,29,2.766752237159695e-4,6.808582570498177e-5
Well boat,2021,231234.207674868,96,2.457066730423295e-4,2.2538756095442241e-4
Research,2021,87954.29225110183,63,9.345916742213825e-5,1.4791058687633972e-4
Passenger,2022,208166770.2187883,182248,0.2072291828910371,0.4053026849234642
Tanker: oil,2022,162151422.98874107,11824,0.16142108971215094,0.026295481687234105
Cargo: container,2022,158958093.6033738,5931,0.1582421431466829,0.013189995085164536
Cargo: bulk carrier,2022,141090997.75570878,15523,0.14045552105874848,0.03452171534429423
Cargo: general,2022,74700281.83846653,54607,0.07436383026381041,0.1214409141149182
Tanker: chemical,2022,66775469.69012551,5852,0.06647471162907526,0.013014306396624998
Tanker: liquefied gas,2022,63218569.77494724,1843,0.06293383206278862,0.004098661430105925
Fishing,2022,47338765.588762924,112471,0.0471255508346465,0.25012509479405504
Cargo: ro ro,2022,37606474.9126204,3514,0.03743709459182084,0.007814810778834627
Tug,2022,15629657.627314337,38833,0.015559261334413899,0.0863609980007072
Supply vessel,2022,6663278.388165305,4255,0.006633266848035936,0.009462726199186495
Specialized reefer,2022,3936541.7219962664,479,0.003918811458756708,0.0010652516684865642
Container reefer,2022,3142701.5986791644,88,0.0031285468073513835,1.9570385558834584e-4
Dredge non fishing,2022,3023926.9628546825,2506,0.0030103071348800354,0.005573112069368121
Bunker,2022,2734581.03274826,2539,0.0027222644246733072,0.005646501015213751
Seismic vessel,2022,2202390.5858233552,1155,0.00219247097424531,0.002568613104597039
Other not fishing,2022,2023678.2777610384,1438,0.0020145635900196664,0.00319797891290956
Cargo: refrigerated,2022,1884407.6773493355,141,0.0018759202671986045,3.1357095043132684e-4
Patrol vessel,2022,1862273.8631254088,3852,0.001853886144119952,0.008566491496889865
Dive vessel,2022,848221.1702193952,366,8.444007649765596e-4,8.139501266515292e-4
Tanker: other,2022,255340.7355607448,31,2.541906757425096e-4,6.894113094589455e-5
Well boat,2022,218333.59559281744,100,2.1735021667871395e-4,2.2239074498675663e-4
Research,2022,92218.5222285988,63,9.180316814622242e-5,1.4010616934165667e-4
Passenger,2023,213465820.94601735,198621,0.20248137501869695,0.4132333023337099
Tanker: oil,2023,174816894.06031704,11972,0.16582123043848945,0.024907885347164576
Cargo: container,2023,158406584.5021816,6338,0.1502553565712439,0.01318628277065896
Cargo: bulk carrier,2023,145509641.1847849,16040,0.1380220594332207,0.03337140669633476
Cargo: general,2023,81425668.68505669,55040,0.077235696488088,0.11451136063380707
Tanker: chemical,2023,69047726.1402187,5954,0.06549469357120868,0.012387366301120771
Tanker: liquefied gas,2023,66086442.807460934,1876,0.06268579087016048,0.00390303983555636
Fishing,2023,59162929.02072274,121866,0.05611854471671574,0.25354363144984615
Cargo: ro ro,2023,37299449.32313865,3732,0.0353801079391498,0.007764469438324273
Tug,2023,16511181.717925414,40463,0.015661555384431126,0.08418374246594723
Supply vessel,2023,7008941.943391378,4403,0.006648278379342967,0.009160492748376681
Bunker,2023,5525079.342271895,3543,0.005240771835756891,0.007371252738473446
Specialized reefer,2023,3907046.883414755,471,0.003705999497766876,9.799209821679347e-4
Dredge non fishing,2023,3145670.4832147383,2628,0.0029838017251395134,0.00546758458840198
Container reefer,2023,2984745.5474851984,85,0.002831157605734783,1.7684348935090118e-4
Seismic vessel,2023,2291605.16859039,1229,0.0021736845902533327,0.0025569488048500888
Other not fishing,2023,2250342.5160789546,1539,0.0021345452161820756,0.0032019074130710226
Patrol vessel,2023,2009394.1167576376,4162,0.0019059954512270947,0.00865908944327589
Cargo: refrigerated,2023,1952556.9333628293,128,0.001852082974770824,2.6630548984606296e-4
Dive vessel,2023,859801.0693361592,368,8.155577412355745e-4,7.65628283307431e-4
Tanker: other,2023,268200.8516652789,32,2.54399870600851e-4,6.657637246151574e-5
Well boat,2023,221355.35837501576,98,2.099649355241001e-4,2.0389014066339193e-4
Research,2023,92088.39596719082,63,8.734974506020988e-5,1.310722332836091e-4
Passenger,2024,244723898.73518443,217474,0.2148212200685762,0.4273841552209005
