fishing,length_decile,month,n_s1_detections,n_s1_detections_unmatched,decile_min_m,decile_max_m
false,8,2017-12-01 00:00:00,14510,2681,173.04277,196.13412
false,9,2017-12-01 00:00:00,13524,2507,196.1341552734375,239.60664
false,10,2017-12-01 00:00:00,11623,2154,239.60664,453.10022
true,1,2017-12-01 00:00:00,11599,10390,5.009999999999937,7.759999999999878
true,2,2017-12-01 00:00:00,12534,10730,7.759999999999878,10.819999999999814
true,3,2017-12-01 00:00:00,14123,11817,10.819999999999814,14.75999999999973
true,4,2017-12-01 00:00:00,15512,12433,14.75999999999973,18.280000000000058
true,5,2017-12-01 00:00:00,17376,13439,18.280000000000058,21.410000000000547
true,6,2017-12-01 00:00:00,18420,13622,21.410000000000547,23.4741764
true,7,2017-12-01 00:00:00,19605,13658,23.474182,26.025414
true,8,2017-12-01 00:00:00,19763,12722,26.025414,30.572640000000003
true,9,2017-12-01 00:00:00,19224,11065,30.572645,41.5105934
true,10,2017-12-01 00:00:00,19089,6897,41.5106,453.8493
false,1,2018-01-01 00:00:00,13683,10649,5.009999999999937,49.8269653
false,2,2018-01-01 00:00:00,14054,5754,49.82698059082031,70.19505
false,3,2018-01-01 00:00:00,14422,4624,70.1950684,85.2781372
false,4,2018-01-01 00:00:00,15121,4294,85.2781372,102.73096
false,5,2018-01-01 00:00:00,15434,3891,102.730965,124.4505844116211
false,6,2018-01-01 00:00:00,15527,3613,124.4506,148.219666
false,7,2018-01-01 00:00:00,14568,2675,148.219666,173.04274
false,8,2018-01-01 00:00:00,14362,2559,173.04277,196.13412
false,9,2018-01-01 00:00:00,13427,2326,196.1341552734375,239.60664
false,10,2018-01-01 00:00:00,11321,1960,239.60664,453.10022
true,1,2018-01-01 00:00:00,11239,10120,5.009999999999937,7.759999999999878
true,2,2018-01-01 00:00:00,12234,10495,7.759999999999878,10.819999999999814
true,3,2018-01-01 00:00:00,13562,11358,10.819999999999814,14.75999999999973
true,4,2018-01-01 00:00:00,14874,12081,14.75999999999973,18.280000000000058
true,5,2018-01-01 00:00:00,16227,12600,18.280000000000058,21.410000000000547
true,6,2018-01-01 00:00:00,17156,12752,21.410000000000547,23.4741764
true,7,2018-01-01 00:00:00,18021,12634,23.474182,26.025414
true,8,2018-01-01 00:00:00,18219,11700,26.025414,30.572640000000003
true,9,2018-01-01 00:00:00,18799,10426,30.572645,41.5105934
true,10,2018-01-01 00:00:00,20359,6932,41.5106,453.8493
false,1,2018-02-01 00:00:00,12047,9267,5.009999999999937,49.8269653
false,2,2018-02-01 00:00:00,12339,4933,49.82698059082031,70.19505
false,3,2018-02-01 00:00:00,12805,4025,70.1950684,85.2781372
false,4,2018-02-01 00:00:00,13397,3581,85.2781372,102.73096
false,5,2018-02-01 00:00:00,13790,3430,102.730965,124.4505844116211
false,6,2018-02-01 00:00:00,13968,3100,124.4506,148.219666
false,7,2018-02-01 00:00:00,13081,2434,148.219666,173.04274
false,8,2018-02-01 00:00:00,12687,2171,173.04277,196.13412
false,9,2018-02-01 00:00:00,11956,1920,196.1341552734375,239.60664
false,10,2018-02-01 00:00:00,10436,1762,239.60664,453.10022
true,1,2018-02-01 00:00:00,9526,8424,5.009999999999937,7.759999999999878
true,2,2018-02-01 00:00:00,10277,8650,7.759999999999878,10.819999999999814
true,3,2018-02-01 00:00:00,11740,9546,10.819999999999814,14.75999999999973
true,4,2018-02-01 00:00:00,13206,10307,14.75999999999973,18.280000000000058
true,5,2018-02-01 00:00:00,14439,10879,18.280000000000058,21.410000000000547
true,6,2018-02-01 00:00:00,15650,11160,21.410000000000547,23.4741764
true,7,2018-02-01 00:00:00,16123,10658,23.474182,26.025414
true,8,2018-02-01 00:00:00,16208,9656,26.025414,30.572640000000003
true,9,2018-02-01 00:00:00,16171,8353,30.572645,41.5105934
true,10,2018-02-01 00:00:00,18722,5675,41.5106,453.8493
false,1,2018-03-01 00:00:00,14171,10825,5.009999999999937,49.8269653
false,2,2018-03-01 00:00:00,14461,5799,49.82698059082031,70.19505
false,3,2018-03-01 00:00:00,14673,4475,70.1950684,85.2781372
false,4,2018-03-01 00:00:00,15344,4217,85.2781372,102.73096
false,5,2018-03-01 00:00:00,15903,3882,102.730965,124.4505844116211
false,6,2018-03-01 00:00:00,15563,3406,124.4506,148.219666
false,7,2018-03-01 00:00:00,14574,2689,148.219666,173.04274
false,8,2018-03-01 00:00:00,14520,2354,173.04277,196.13412
false,9,2018-03-01 00:00:00,14168,2192,196.1341552734375,239.60664
false,10,2018-03-01 00:00:00,12545,2197,239.60664,453.10022
true,1,2018-03-01 00:00:00,21151,17988,5.009999999999937,7.759999999999878
true,2,2018-03-01 00:00:00,18605,14974,7.759999999999878,10.819999999999814
true,3,2018-03-01 00:00:00,18579,14356,10.819999999999814,14.75999999999973
true,4,2018-03-01 00:00:00,18833,13974,14.75999999999973,18.280000000000058
true,5,2018-03-01 00:00:00,19308,13733,18.280000000000058,21.410000000000547
true,6,2018-03-01 00:00:00,19578,13264,21.410000000000547,23.4741764
true,7,2018-03-01 00:00:00,19293,12322,23.474182,26.025414
true,8,2018-03-01 00:00:00,18708,11054,26.025414,30.572640000000003
