imo,ship_name,mmsi,call_sign,consumption_value_1,consumption_speed_1,consumption_value_2,consumption_speed_2
7375595,BLUE LADY,NA,ELVO9,35,12,NA,NA
9279666,KIRANA DWITYA,525023188,JZGQ,18.7,13.5,NA,NA
9255244,BOLOGNIA FALCON,352002813,3E5099,33.6,15.3,NA,NA
9185750,DONG JIANG HE,414262000,BFBM6,34,14,NA,NA
9714783,TOMINI LEVANT,538005708,V7GF7,21,14,NA,NA
9223643,LADY NAEIMA,511101226,T8A4505,19,13.5,NA,NA
9635626,XIN HAI TONG 31,538004891,V7ZQ3,34,14,NA,NA
8307002,SILVER ARROW,NA,3FNH4,28.5,13,NA,NA
9200433,AISHA SARWAR,405000130,S2CP,28.5,14,NA,NA
9117715,ZHONG HAI,NA,3FXG5,29.8,14,20,11
9398292,OLYMPIC CHALLENGER,257089810,LAZQ7,26,15,NA,NA
9297345,URSUS MARITIMUS,636022406,5LIQ2,51.8,14.6,NA,NA
9486013,ZOGRAFIA,248185000,9HA2233,34,14,NA,NA
9707869,ARDMORE CHINOOK,538005867,V7HS3,28,14.5,NA,NA
9389497,HANS MAERSK,563094100,9V6564,35,15.1,NA,NA
8318893,EIRINI L,NA,ELDY9,27,13.5,30,14
9134139,DUBAI ALLIANCE,209700000,5BHW5,29,17,NA,NA
9356074,MAERSK CHESAPEAKE,338775000,WSNA,85,21.5,NA,NA
9336854,PARVRAJ,538009823,V7A5214,31.3,13.5,NA,NA
9668348,NSU NEWSTAR,353349000,3EXK4,62,14,68.6,15
9178276,MYD HANGZHOU,636017957,D5NN4,84,21,NA,NA
9160841,SHARON,525015695,PNFU,17.5,13,NA,NA
9625607,DEVBULK BEGUM,538006850,V7SA8,22.3,13.5,NA,NA
9617387,ASSOSA,624015000,ETAO,29.6,15.2,NA,NA
9130456,HORIZON 1,511100855,T8A4066,17,16,NA,NA
9189093,JIN NING 7,414265000,BLBK4,35,14.5,NA,NA
9254161,UMESATO,432195000,JPKZ,6.38,15.7,NA,NA
9546095,LI DA SHUN,351867000,3FEB2,34,14,NA,NA
9501174,TAQAH,538004833,V7Z14,65,14,NA,NA
8710742,BAO ZHONG 218,NA,BRTL,27,13,NA,NA
9304356,YODAN,314992000,8P2522,44,13,NA,NA
9875070,EVER CORE,351753000,3FHV8,49.4,20,NA,NA
9138276,PANTHER,636016854,D5BN7,86,22.5,NA,NA
9647203,VOS FAIRNESS,235097314,2GGY9,3,10,5,12
9907823,SOLAR KAREN,636019995,D5XD8,21.4,13.2,NA,NA
9945356,CNC LEOPARD,563195900,9V7924,44,18,NA,NA
9390642,HALCYON,311058000,C6WB4,38,18.5,NA,NA
9935143,ARACHTHOS I,636021090,5LCF6,35,14,NA,NA
9561837,SAI FORTUNE,538010338,V7A5911,17,12,23,14
9770646,ELBHOFF,538009847,V7A5249,78.5,15,NA,NA
7525011,AGIOS GERASSIMOS I,NA,9HOW6,27,13,NA,NA
9346885,MARE NOSTRUM,247257400,ICDV,50,15.3,NA,NA
9718167,TOMINI UNITY,538006521,V7NZ6,24.9,14.4,NA,NA
9166297,THANH THANH DAT 9999,374997000,H8EA,21,13,NA,NA
9722924,FRONT CLOUD,538010882,V7A7555,36.7,11.7,NA,NA
9521447,NORDTULIP,255806154,CQAE8,44.6,14,NA,NA
8028644,POPI S,NA,9HKJ7,37,13,NA,NA
